,Planned dates,MRP element,MRP elmnt data,Rescheduling date,Exception,Rec./reqd qty,Avail. Quantity,Plng Plant,Stor. Loc.,Rec P. Qty,Day of the Week
,7/31/2025,Transf,0225098429/00010,,,"-372,912","2,358,120",CRE1,2000,372.91-,Thursday
,7/31/2025,Transf,0225098536/00010,,,"-76,776","2,281,344",LAN1,2000,76.78-,Thursday
,7/31/2025,Transf,0225147660/00010,,,"-109,680","2,171,664",WOO1,2000,109.68-,Thursday
,7/31/2025,Transf,0225147785/00010,,,"-76,776","2,094,888",ORM1,2000,76.78-,Thursday
,7/31/2025,Transf,0225165820/00010,,,"-186,456","1,908,432",LOC1,2000,186.46-,Thursday
,7/31/2025,Transf,0225165844/00010,,,"-131,616","1,776,816",FEN1,2000,131.62-,Thursday
,8/5/2025,Transf,0225139589/00010,,,"-153,552","1,623,264",SEC2,2000,153.55-,Tuesday
,8/7/2025,P.R,0225140155/00010,,,"394,848","2,018,112",,2000,394.85,Thursday
,8/7/2025,Transf,0225098224/00010,,,"-252,264","1,765,848",ORM2,2000,252.26-,Thursday
,8/7/2025,Transf,0225098376/00010,,,"-109,680","1,656,168",WOO1,2000,109.68-,Thursday
,8/7/2025,Transf,0225098430/00010,,,"-361,944","1,294,224",CRE1,2000,361.94-,Thursday
,8/7/2025,Transf,0225147786/00010,,,"-65,808","1,228,416",ORM1,2000,65.81-,Thursday
,8/7/2025,Transf,0225165806/00010,,,"-65,808","1,162,608",LAN1,2000,65.81-,Thursday
,8/7/2025,Transf,0225165821/00010,,,"-197,424","965,184",LOC1,2000,197.42-,Thursday
,8/7/2025,Transf,0225165845/00010,,,"-142,584","822,600",FEN1,2000,142.58-,Thursday
,8/12/2025,P.R,0225140141/00010,,,"1,579,392","2,401,992",,2000,1579.39,Tuesday
,8/12/2025,Transf,0225157515/00010,,,"-164,520","2,237,472",SEC2,2000,164.52-,Tuesday
,8/14/2025,Transf,0225098225/00010,,,"-263,232","1,974,240",ORM2,2000,263.23-,Thursday
,8/14/2025,Transf,0225098377/00010,,,"-120,648","1,853,592",WOO1,2000,120.65-,Thursday
,8/14/2025,Transf,0225098645/00010,,,"-197,424","1,656,168",LOC1,2000,197.42-,Thursday
,8/14/2025,Transf,0225099079/00010,,,"-87,744","1,568,424",ORM1,2000,87.74-,Thursday
,8/14/2025,Transf,0225147696/00010,,,"-142,584","1,425,840",FEN1,2000,142.58-,Thursday
,8/14/2025,Transf,0225157494/00010,,,"-350,976","1,074,864",CRE1,2000,350.98-,Thursday
,8/14/2025,Transf,0225165807/00010,,,"-76,776","998,088",LAN1,2000,76.78-,Thursday
,8/19/2025,Transf,0225157516/00010,,,"-153,552","844,536",SEC2,2000,153.55-,Tuesday
,8/21/2025,P.R,0225140157/00010,,,"1,579,392","2,423,928",,2000,1579.39,Thursday
,8/21/2025,Transf,0225098378/00010,,,"-120,648","2,303,280",WOO1,2000,120.65-,Thursday
,8/21/2025,Transf,0225099080/00010,,,"-87,744","2,215,536",ORM1,2000,87.74-,Thursday
,8/21/2025,Transf,0225143892/00010,,,"-76,776","2,138,760",LAN1,2000,76.78-,Thursday
,8/21/2025,Transf,0225157495/00010,,,"-361,944","1,776,816",CRE1,2000,361.94-,Thursday
,8/21/2025,Transf,0225165772/00010,,,"-263,232","1,513,584",ORM2,2000,263.23-,Thursday
,8/21/2025,Transf,0225165822/00010,,,"-197,424","1,316,160",LOC1,2000,197.42-,Thursday
,8/21/2025,Transf,0225165846/00010,,,"-142,584","1,173,576",FEN1,2000,142.58-,Thursday
,8/26/2025,Transf,0225139592/00010,,,"-153,552","1,020,024",SEC2,2000,153.55-,Tuesday
,8/28/2025,P.R,0225140158/00010,,,"1,974,240","2,994,264",,2000,1974.24,Thursday
,8/28/2025,Transf,0225098379/00010,,,"-120,648","2,873,616",WOO1,2000,120.65-,Thursday
,8/28/2025,Transf,0225098433/00010,,,"-350,976","2,522,640",CRE1,2000,350.98-,Thursday
,8/28/2025,Transf,0225098540/00010,,,"-76,776","2,445,864",LAN1,2000,76.78-,Thursday
,8/28/2025,Transf,0225099081/00010,,,"-87,744","2,358,120",ORM1,2000,87.74-,Thursday
,8/28/2025,Transf,0225165773/00010,,,"-274,200","2,083,920",ORM2,2000,274.20-,Thursday
,8/28/2025,Transf,0225165823/00010,,,"-208,392","1,875,528",LOC1,2000,208.39-,Thursday
,8/28/2025,Transf,0225165847/00010,,,"-153,552","1,721,976",FEN1,2000,153.55-,Thursday
,9/2/2025,Transf,0225157517/00010,,,"-164,520","1,557,456",SEC2,2000,164.52-,Tuesday
,9/4/2025,P.R,0225140159/00010,,,"789,696","2,347,152",,2000,789.70,Thursday
,9/4/2025,Transf,0225098380/00010,,,"-120,648","2,226,504",WOO1,2000,120.65-,Thursday
,9/4/2025,Transf,0225098541/00010,,,"-76,776","2,149,728",LAN1,2000,76.78-,Thursday
,9/4/2025,Transf,0225098648/00010,,,"-197,424","1,952,304",LOC1,2000,197.42-,Thursday
,9/4/2025,Transf,0225147741/00010,,,"-263,232","1,689,072",ORM2,2000,263.23-,Thursday
,9/4/2025,Transf,0225147787/00010,,,"-87,744","1,601,328",ORM1,2000,87.74-,Thursday
,9/4/2025,Transf,0225157496/00010,,,"-350,976","1,250,352",CRE1,2000,350.98-,Thursday
,9/4/2025,Transf,0225165848/00010,,,"-142,584","1,107,768",FEN1,2000,142.58-,Thursday
,9/9/2025,Transf,0225139594/00010,,,"-153,552","954,216",SEC2,2000,153.55-,Tuesday
,9/11/2025,P.R,0225140160/00010,,,"1,184,544","2,138,760",,2000,1184.54,Thursday
,9/11/2025,Transf,0225098229/00010,,,"-263,232","1,875,528",ORM2,2000,263.23-,Thursday
,9/11/2025,Transf,0225098381/00010,,,"-120,648","1,754,880",WOO1,2000,120.65-,Thursday
,9/11/2025,Transf,0225098542/00010,,,"-76,776","1,678,104",LAN1,2000,76.78-,Thursday
,9/11/2025,Transf,0225098601/00010,,,"-142,584","1,535,520",FEN1,2000,142.58-,Thursday
,9/11/2025,Transf,0225147788/00010,,,"-76,776","1,458,744",ORM1,2000,76.78-,Thursday
,9/11/2025,Transf,0225157497/00010,,,"-383,880","1,074,864",CRE1,2000,383.88-,Thursday
,9/11/2025,Transf,0225165824/00010,,,"-186,456","888,408",LOC1,2000,186.46-,Thursday
,9/16/2025,P.R,0225140149/00010,,,"1,579,392","2,467,800",,2000,1579.39,Tuesday
,9/16/2025,Transf,0225157518/00010,,,"-153,552","2,314,248",SEC2,2000,153.55-,Tuesday
,9/18/2025,Transf,0225098230/00010,,,"-263,232","2,051,016",ORM2,2000,263.23-,Thursday
,9/18/2025,Transf,0225098436/00010,,,"-383,880","1,667,136",CRE1,2000,383.88-,Thursday
,9/18/2025,Transf,0225098543/00010,,,"-76,776","1,590,360",LAN1,2000,76.78-,Thursday
,9/18/2025,Transf,0225099084/00010,,,"-76,776","1,513,584",ORM1,2000,76.78-,Thursday
,9/18/2025,Transf,0225147661/00010,,,"-120,648","1,392,936",WOO1,2000,120.65-,Thursday
,9/18/2025,Transf,0225165825/00010,,,"-197,424","1,195,512",LOC1,2000,197.42-,Thursday
,9/18/2025,Transf,0225165849/00010,,,"-153,552","1,041,960",FEN1,2000,153.55-,Thursday
,9/23/2025,Transf,0225139596/00010,,,"-153,552","888,408",SEC2,2000,153.55-,Tuesday
,9/25/2025,P.R,0225140162/00010,,,"1,579,392","2,467,800",,2000,1579.39,Thursday
,9/25/2025,Transf,0225098231/00010,,,"-263,232","2,204,568",ORM2,2000,263.23-,Thursday
,9/25/2025,Transf,0225098383/00010,,,"-120,648","2,083,920",WOO1,2000,120.65-,Thursday
,9/25/2025,Transf,0225098544/00010,,,"-76,776","2,007,144",LAN1,2000,76.78-,Thursday
,9/25/2025,Transf,0225098651/00010,,,"-186,456","1,820,688",LOC1,2000,186.46-,Thursday
,9/25/2025,Transf,0225147700/00010,,,"-142,584","1,678,104",FEN1,2000,142.58-,Thursday
,9/25/2025,Transf,0225147789/00010,,,"-87,744","1,590,360",ORM1,2000,87.74-,Thursday
,9/25/2025,Transf,0225157498/00010,,,"-372,912","1,217,448",CRE1,2000,372.91-,Thursday
,9/30/2025,Transf,0225139597/00010,,,"-153,552","1,063,896",SEC2,2000,153.55-,Tuesday
,10/2/2025,P.R,0225140163/00010,,,"1,184,544","2,248,440",,2000,1184.54,Thursday
,10/2/2025,Transf,0225098232/00010,,,"-263,232","1,985,208",ORM2,2000,263.23-,Thursday
,10/2/2025,Transf,0225098384/00010,,,"-120,648","1,864,560",WOO1,2000,120.65-,Thursday
,10/2/2025,Transf,0225098545/00010,,,"-76,776","1,787,784",LAN1,2000,76.78-,Thursday
,10/2/2025,Transf,0225098604/00010,,,"-142,584","1,645,200",FEN1,2000,142.58-,Thursday
,10/2/2025,Transf,0225147790/00010,,,"-76,776","1,568,424",ORM1,2000,76.78-,Thursday
,10/2/2025,Transf,0225157499/00010,,,"-383,880","1,184,544",CRE1,2000,383.88-,Thursday
,10/2/2025,Transf,0225165826/00010,,,"-186,456","998,088",LOC1,2000,186.46-,Thursday
,10/7/2025,P.R,0225140164/00010,,,"1,974,240","2,972,328",,2000,1974.24,Tuesday
,10/7/2025,Transf,0225139598/00010,,,"-153,552","2,818,776",SEC2,2000,153.55-,Tuesday
,10/9/2025,Transf,0225098385/00010,,,"-120,648","2,698,128",WOO1,2000,120.65-,Thursday
,10/9/2025,Transf,0225098546/00010,,,"-76,776","2,621,352",LAN1,2000,76.78-,Thursday
,10/9/2025,Transf,0225098605/00010,,,"-142,584","2,478,768",FEN1,2000,142.58-,Thursday
,10/9/2025,Transf,0225147742/00010,,,"-263,232","2,215,536",ORM2,2000,263.23-,Thursday
,10/9/2025,Transf,0225147791/00010,,,"-87,744","2,127,792",ORM1,2000,87.74-,Thursday
,10/9/2025,Transf,0225157500/00010,,,"-307,104","1,820,688",CRE1,2000,307.10-,Thursday
,10/9/2025,Transf,0225165827/00010,,,"-208,392","1,612,296",LOC1,2000,208.39-,Thursday
,10/14/2025,Transf,0225139599/00010,,,"-153,552","1,458,744",SEC2,2000,153.55-,Tuesday
,10/16/2025,P.R,0225140165/00010,,,"789,696","2,248,440",,2000,789.70,Thursday
,10/16/2025,Transf,0225098386/00010,,,"-120,648","2,127,792",WOO1,2000,120.65-,Thursday
,10/16/2025,Transf,0225098547/00010,,,"-76,776","2,051,016",LAN1,2000,76.78-,Thursday
,10/16/2025,Transf,0225098654/00010,,,"-197,424","1,853,592",LOC1,2000,197.42-,Thursday
,10/16/2025,Transf,0225147792/00010,,,"-76,776","1,776,816",ORM1,2000,76.78-,Thursday
,10/16/2025,Transf,0225157501/00010,,,"-318,072","1,458,744",CRE1,2000,318.07-,Thursday
,10/16/2025,Transf,0225165774/00010,,,"-252,264","1,206,480",ORM2,2000,252.26-,Thursday
,10/16/2025,Transf,0225165850/00010,,,"-142,584","1,063,896",FEN1,2000,142.58-,Thursday
,10/21/2025,Transf,0225139600/00010,,,"-153,552","910,344",SEC2,2000,153.55-,Tuesday
,10/23/2025,P.R,0225140166/00010,,,"1,184,544","2,094,888",,2000,1184.54,Thursday
,10/23/2025,Transf,0225098548/00010,,,"-76,776","2,018,112",LAN1,2000,76.78-,Thursday
,10/23/2025,Transf,0225098655/00010,,,"-197,424","1,820,688",LOC1,2000,197.42-,Thursday
,10/23/2025,Transf,0225147662/00010,,,"-120,648","1,700,040",WOO1,2000,120.65-,Thursday
,10/23/2025,Transf,0225147793/00010,,,"-87,744","1,612,296",ORM1,2000,87.74-,Thursday
,10/23/2025,Transf,0225157502/00010,,,"-307,104","1,305,192",CRE1,2000,307.10-,Thursday
,10/23/2025,Transf,0225165775/00010,,,"-263,232","1,041,960",ORM2,2000,263.23-,Thursday
,10/23/2025,Transf,0225165851/00010,,,"-153,552","888,408",FEN1,2000,153.55-,Thursday
,10/28/2025,P.R,0225140161/00010,,,"1,579,392","2,467,800",,2000,1579.39,Tuesday
,10/28/2025,Transf,0225139601/00010,,,"-153,552","2,314,248",SEC2,2000,153.55-,Tuesday
,10/30/2025,Transf,0225098236/00010,,,"-263,232","2,051,016",ORM2,2000,263.23-,Thursday
,10/30/2025,Transf,0225098388/00010,,,"-120,648","1,930,368",WOO1,2000,120.65-,Thursday
,10/30/2025,Transf,0225098549/00010,,,"-76,776","1,853,592",LAN1,2000,76.78-,Thursday
,10/30/2025,Transf,0225098608/00010,,,"-142,584","1,711,008",FEN1,2000,142.58-,Thursday
,10/30/2025,Transf,0225098656/00010,,,"-197,424","1,513,584",LOC1,2000,197.42-,Thursday
,10/30/2025,Transf,0225147794/00010,,,"-76,776","1,436,808",ORM1,2000,76.78-,Thursday
,10/30/2025,Transf,0225157503/00010,,,"-318,072","1,118,736",CRE1,2000,318.07-,Thursday
,11/4/2025,Transf,0225139602/00010,,,"-153,552","965,184",SEC2,2000,153.55-,Tuesday
,11/6/2025,P.R,0225140168/00010,,,"1,184,544","2,149,728",,2000,1184.54,Thursday
,11/6/2025,Transf,0225098237/00010,,,"-263,232","1,886,496",ORM2,2000,263.23-,Thursday
,11/6/2025,Transf,0225098389/00010,,,"-120,648","1,765,848",WOO1,2000,120.65-,Thursday
,11/6/2025,Transf,0225098443/00010,,,"-296,136","1,469,712",CRE1,2000,296.14-,Thursday
,11/6/2025,Transf,0225098550/00010,,,"-76,776","1,392,936",LAN1,2000,76.78-,Thursday
,11/6/2025,Transf,0225098657/00010,,,"-197,424","1,195,512",LOC1,2000,197.42-,Thursday
,11/6/2025,Transf,0225099091/00010,,,"-76,776","1,118,736",ORM1,2000,76.78-,Thursday
,11/6/2025,Transf,0225147702/00010,,,"-131,616","987,120",FEN1,2000,131.62-,Thursday
,11/11/2025,Transf,0225157519/00010,,,"-164,520","822,600",SEC2,2000,164.52-,Tuesday
,11/13/2025,P.R,0225140138/00010,,,"1,184,544","2,007,144",,2000,1184.54,Thursday
,11/13/2025,Transf,0225098390/00010,,,"-120,648","1,886,496",WOO1,2000,120.65-,Thursday
,11/13/2025,Transf,0225098444/00010,,,"-296,136","1,590,360",CRE1,2000,296.14-,Thursday
,11/13/2025,Transf,0225098551/00010,,,"-76,776","1,513,584",LAN1,2000,76.78-,Thursday
,11/13/2025,Transf,0225098658/00010,,,"-186,456","1,327,128",LOC1,2000,186.46-,Thursday
,11/13/2025,Transf,0225147744/00010,,,"-263,232","1,063,896",ORM2,2000,263.23-,Thursday
,11/13/2025,Transf,0225147795/00010,,,"-76,776","987,120",ORM1,2000,76.78-,Thursday
,11/13/2025,Transf,0225165852/00010,,,"-131,616","855,504",FEN1,2000,131.62-,Thursday
,11/18/2025,P.R,0225140170/00010,,,"1,579,392","2,434,896",,2000,1579.39,Tuesday
,11/18/2025,Transf,0225157520/00010,,,"-153,552","2,281,344",SEC2,2000,153.55-,Tuesday
,11/20/2025,Transf,0225098391/00010,,,"-120,648","2,160,696",WOO1,2000,120.65-,Thursday
,11/20/2025,Transf,0225147766/00010,,,"-197,424","1,963,272",LOC1,2000,197.42-,Thursday
,11/20/2025,Transf,0225147796/00010,,,"-65,808","1,897,464",ORM1,2000,65.81-,Thursday
,11/20/2025,Transf,0225157504/00010,,,"-296,136","1,601,328",CRE1,2000,296.14-,Thursday
,11/20/2025,Transf,0225165776/00010,,,"-252,264","1,349,064",ORM2,2000,252.26-,Thursday
,11/20/2025,Transf,0225165808/00010,,,"-65,808","1,283,256",LAN1,2000,65.81-,Thursday
,11/20/2025,Transf,0225165853/00010,,,"-142,584","1,140,672",FEN1,2000,142.58-,Thursday
,11/25/2025,Transf,0225139605/00010,,,"-153,552","987,120",SEC2,2000,153.55-,Tuesday
,11/27/2025,P.R,0225140171/00010,,,"1,184,544","2,171,664",,2000,1184.54,Thursday
,11/27/2025,Transf,0225098392/00010,,,"-120,648","2,051,016",WOO1,2000,120.65-,Thursday
,11/27/2025,Transf,0225098553/00010,,,"-76,776","1,974,240",LAN1,2000,76.78-,Thursday
,11/27/2025,Transf,0225099094/00010,,,"-76,776","1,897,464",ORM1,2000,76.78-,Thursday
,11/27/2025,Transf,0225147704/00010,,,"-131,616","1,765,848",FEN1,2000,131.62-,Thursday
,11/27/2025,Transf,0225147767/00010,,,"-186,456","1,579,392",LOC1,2000,186.46-,Thursday
,11/27/2025,Transf,0225157505/00010,,,"-307,104","1,272,288",CRE1,2000,307.10-,Thursday
,11/27/2025,Transf,0225165777/00010,,,"-263,232","1,009,056",ORM2,2000,263.23-,Thursday
,12/2/2025,P.R,0225140172/00010,,,"1,974,240","2,983,296",,2000,1974.24,Tuesday
,12/2/2025,Transf,0225157521/00010,,,"-208,392","2,774,904",SEC2,2000,208.39-,Tuesday
,12/4/2025,Transf,0225098241/00010,,,"-350,976","2,423,928",ORM2,2000,350.98-,Thursday
,12/4/2025,Transf,0225098393/00010,,,"-164,520","2,259,408",WOO1,2000,164.52-,Thursday
,12/4/2025,Transf,0225098447/00010,,,"-394,848","1,864,560",CRE1,2000,394.85-,Thursday
,12/4/2025,Transf,0225099095/00010,,,"-98,712","1,765,848",ORM1,2000,98.71-,Thursday
,12/4/2025,Transf,0225165809/00010,,,"-109,680","1,656,168",LAN1,2000,109.68-,Thursday
,12/4/2025,Transf,0225165828/00010,,,"-252,264","1,403,904",LOC1,2000,252.26-,Thursday
,12/4/2025,Transf,0225165854/00010,,,"-175,488","1,228,416",FEN1,2000,175.49-,Thursday
